,(단위 : 백만원),Unnamed: 1,Unnamed: 2,Unnamed: 3
0, ,제 51 기,제 50 기,제 49 기
1,당기순이익(손실),21738865,44344857,42186747
2,기타포괄손익,3016194,-12242,-5502257
3,    후속적으로 당기손익으로 재분류되지 않는 포괄손익,-50765,-656647,407900
4,        기타포괄손익-공정가치금융자산평가손익,1146599,-235865, 
5,        관계기업 및 공동기업의 기타포괄손익에 대한 지분,-16896,-10631,-6347
6,        순확정급여부채 재측정요소,-1180468,-410151,414247
7,    후속적으로 당기손익으로 재분류되는 포괄손익,3066959,644405,-5910157
8,        매도가능금융자산평가손익, , ,511207
9,        관계기업 및 공동기업의 기타포괄손익에 대한 지분,48649,6688,-49256
10,        해외사업장환산외환차이,3016499,590638,-6334987
11,        현금흐름위험회피파생상품평가손익,1811,47079,-37121
12,총포괄손익,24755059,44332615,36684490
13,포괄손익의 귀속, , , 
14,    지배기업 소유주지분,24466985,43882473,35887505
15,    비지배지분,288074,450142,796985
